iter	Passed	Remaining
0	1	154
1	2	145
2	4	137
3	5	128
4	6	121
5	7	115
6	8	111
7	9	107
8	10	106
9	11	104
10	12	102
11	13	101
12	14	98
13	15	96
14	16	95
15	18	94
16	19	94
17	20	92
18	21	92
19	22	90
20	23	88
21	25	88
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	31	80
28	32	80
29	33	79
30	35	78
31	36	77
32	38	77
33	39	76
34	40	75
35	42	74
36	43	73
37	44	73
38	46	72
39	48	72
40	49	71
41	50	69
42	51	68
43	52	67
44	54	66
45	55	65
46	57	64
47	58	63
48	59	62
49	61	61
50	62	60
51	63	58
52	65	57
53	66	56
54	66	54
55	67	53
56	68	51
57	70	50
58	71	49
59	72	48
60	73	47
61	74	45
62	75	44
63	77	43
64	78	42
65	79	41
66	81	39
67	82	38
68	83	37
69	85	36
70	86	35
71	87	34
72	88	32
73	90	31
74	91	30
75	92	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	17
86	105	15
87	106	14
88	108	13
89	109	12
90	110	10
91	111	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	119	2
98	120	1
99	122	0
