iter	Passed	Remaining
0	2	2072
1	3	1761
2	4	1628
3	7	1891
4	9	1897
5	11	1848
6	12	1798
7	13	1731
8	15	1675
9	16	1639
10	17	1602
11	19	1567
12	20	1545
13	23	1623
14	24	1625
15	26	1602
16	27	1578
17	28	1557
18	29	1534
19	30	1516
20	32	1504
21	33	1496
22	35	1527
23	37	1528
24	38	1520
25	40	1509
26	41	1504
27	43	1492
28	44	1483
29	45	1468
30	46	1452
31	47	1435
32	51	1511
33	53	1517
34	54	1503
35	55	1487
36	56	1469
37	57	1453
38	58	1436
39	59	1419
40	60	1406
41	61	1393
42	62	1380
43	63	1383
44	66	1412
45	68	1416
46	69	1416
47	70	1403
48	71	1391
49	72	1378
50	73	1369
51	74	1358
52	75	1346
53	76	1335
54	77	1333
55	79	1332
56	80	1335
57	82	1336
58	83	1333
59	84	1325
60	85	1316
61	86	1308
62	87	1302
63	88	1294
64	89	1288
65	90	1286
66	92	1282
67	93	1277
68	95	1283
69	97	1289
70	98	1288
71	99	1282
72	100	1276
73	101	1269
74	102	1263
75	103	1258
76	104	1258
77	106	1253
78	107	1248
79	108	1243
80	110	1252
81	111	1253
82	112	1245
83	114	1243
84	115	1239
85	116	1237
86	117	1233
87	118	1232
88	119	1227
89	120	1222
90	122	1220
91	123	1218
92	125	1220
93	126	1221
94	128	1220
95	129	1218
96	130	1218
97	132	1215
98	132	1209
99	133	1204
100	134	1198
101	135	1193
102	136	1187
103	137	1182
104	138	1183
105	140	1183
106	141	1183
107	143	1182
108	144	1180
109	145	1176
110	146	1173
111	147	1168
112	148	1165
113	149	1160
114	150	1156
115	151	1151
116	151	1146
117	153	1145
118	155	1147
119	156	1149
120	158	1150
121	159	1146
122	160	1143
123	161	1140
124	162	1138
125	163	1135
126	164	1132
127	168	1144
128	170	1151
129	172	1153
130	173	1153
131	175	1151
132	176	1147
133	176	1143
134	177	1139
135	178	1135
136	179	1132
137	180	1128
138	183	1139
139	185	1138
140	186	1135
141	186	1129
142	187	1125
143	188	1121
144	189	1117
145	190	1114
146	191	1110
147	192	1107
148	193	1103
149	194	1102
150	195	1099
151	197	1099
152	198	1100
153	200	1099
154	201	1097
155	202	1094
156	203	1090
157	204	1087
158	204	1083
159	205	1080
160	206	1075
161	207	1074
162	208	1073
163	210	1072
164	213	1081
165	215	1080
166	216	1077
167	217	1074
168	218	1071
169	219	1069
170	220	1066
171	222	1068
172	223	1068
173	224	1065
174	227	1071
175	228	1071
176	229	1069
177	230	1066
178	231	1063
179	232	1060
180	233	1057
181	234	1054
182	235	1050
183	236	1048
184	237	1045
185	238	1041
186	238	1038
187	240	1040
188	242	1042
189	244	1044
190	246	1042
191	247	1040
192	248	1037
193	249	1035
194	250	1033
195	251	1031
196	252	1029
197	254	1029
198	257	1034
199	258	1034
200	260	1034
201	261	1033
202	263	1032
203	264	1030
204	265	1028
205	266	1025
206	266	1022
207	268	1021
208	271	1026
209	273	1030
210	274	1028
211	275	1025
212	276	1022
213	277	1019
214	278	1016
215	279	1014
216	280	1011
217	281	1009
218	282	1006
219	283	1005
220	286	1011
221	288	1010
222	289	1009
223	290	1006
224	291	1004
225	292	1001
226	293	998
227	294	995
228	294	993
229	295	990
230	297	989
231	298	988
232	300	988
233	301	987
234	303	987
235	304	986
236	305	984
237	307	982
238	308	980
239	309	979
240	310	977
241	311	975
242	312	973
243	313	970
244	314	969
245	316	970
246	317	969
247	318	966
248	319	964
249	320	961
250	321	959
251	322	956
252	323	954
253	324	952
254	325	951
255	326	950
256	328	948
257	331	953
258	333	953
259	334	951
260	335	950
261	337	949
262	338	947
263	339	947
264	341	945
265	342	944
266	344	945
267	346	945
268	347	944
269	348	943
270	350	942
271	351	940
272	352	939
273	354	937
274	355	936
275	356	934
276	357	933
277	359	932
278	361	933
279	362	932
280	364	931
281	365	930
282	366	929
283	368	928
284	369	926
285	370	925
286	372	925
287	374	925
288	375	924
289	377	923
290	378	922
291	379	920
292	381	919
293	382	917
294	383	916
295	384	915
296	386	914
297	387	913
298	390	914
299	391	913
300	392	912
301	394	910
302	395	909
303	396	907
304	397	906
305	399	905
306	400	904
307	402	903
308	403	903
309	405	902
310	406	901
311	407	899
312	408	897
313	410	896
314	411	895
315	413	894
316	415	894
317	416	893
318	418	893
319	420	893
320	421	891
321	423	890
322	424	889
323	426	888
324	427	888
325	431	891
326	433	891
327	434	890
328	436	889
329	437	888
330	438	886
331	440	885
332	441	884
333	443	883
334	445	884
335	447	884
336	448	882
337	450	881
338	451	879
339	452	877
340	453	875
341	454	875
342	456	873
343	457	872
344	460	874
345	462	874
346	464	873
347	465	871
348	466	870
349	467	868
350	468	866
351	469	864
352	470	862
353	471	860
354	472	858
355	475	859
356	476	859
357	478	857
358	479	855
359	480	854
360	481	852
361	482	850
362	483	848
363	484	846
364	485	844
